1:00:01,EDT
uidhInsertionSuccess,1002456
uidhNumWhiteListMatches,1497848
uidhNumWhiteListMismatches,44889572
1:02:01,EDT
uidhInsertionSuccess,1003028
uidhNumWhiteListMatches,1498710
uidhNumWhiteListMismatches,44915592
1:04:01,EDT
uidhInsertionSuccess,1003620
uidhNumWhiteListMatches,1499762
uidhNumWhiteListMismatches,44940601
1:06:01,EDT
uidhInsertionSuccess,1003995
uidhNumWhiteListMatches,1500508
uidhNumWhiteListMismatches,44966624
1:08:01,EDT
uidhInsertionSuccess,1004485
uidhNumWhiteListMatches,1501282
uidhNumWhiteListMismatches,44993619
1:10:01,EDT
uidhInsertionSuccess,1005000
uidhNumWhiteListMatches,1502086
uidhNumWhiteListMismatches,45020033
1:12:01,EDT
uidhInsertionSuccess,1005423
uidhNumWhiteListMatches,1502753
uidhNumWhiteListMismatches,45045540
1:14:01,EDT
uidhInsertionSuccess,1005918
uidhNumWhiteListMatches,1503525
uidhNumWhiteListMismatches,45069568
1:16:01,EDT
uidhInsertionSuccess,1006534
uidhNumWhiteListMatches,1504360
uidhNumWhiteListMismatches,45094917
1:18:01,EDT
uidhInsertionSuccess,1006922
uidhNumWhiteListMatches,1504934
uidhNumWhiteListMismatches,45119129
1:20:01,EDT
uidhInsertionSuccess,1007517
uidhNumWhiteListMatches,1505718
uidhNumWhiteListMismatches,45141686
1:22:01,EDT
uidhInsertionSuccess,1007842
uidhNumWhiteListMatches,1506303
uidhNumWhiteListMismatches,45164159
1:24:01,EDT
uidhInsertionSuccess,1008119
uidhNumWhiteListMatches,1506734
uidhNumWhiteListMismatches,45186793
1:26:01,EDT
uidhInsertionSuccess,1008520
uidhNumWhiteListMatches,1507384
uidhNumWhiteListMismatches,45211690
1:28:01,EDT
uidhInsertionSuccess,1008922
uidhNumWhiteListMatches,1507904
uidhNumWhiteListMismatches,45237354
1:30:01,EDT
uidhInsertionSuccess,1009249
uidhNumWhiteListMismatches,45261150
uidhNumWhiteListMatches,1508353
